snapshot	elapsed_hours	local-vps	hermes-container	deimos-openclaw-container	phobos-pi-hermes
20260607T170450Z	91.137	78	78	78	78
20260607T173543Z	91.652	78	78	78	nan
20260607T180626Z	92.164	78	78	78	78
20260607T183712Z	92.677	78	78	78	nan
20260607T190755Z	93.189	78	78	78	78
20260607T193834Z	93.699	78	78	78	nan
20260607T200920Z	94.212	78	78	78	78
20260607T204005Z	94.725	78	78	78	nan
20260607T211048Z	95.237	78	78	78	78
20260607T214128Z	95.748	78	78	78	nan
20260607T221212Z	96.260	78	78	78	78
20260607T224252Z	96.771	78	78	78	nan
20260607T231339Z	97.284	78	78	78	78
20260607T234417Z	97.795	78	78	78	nan
20260608T001516Z	98.311	78	78	78	nan
20260608T004604Z	98.824	78	78	78	78
20260608T011646Z	99.336	78	78	78	nan
20260608T014739Z	99.851	78	78	78	78
20260608T021827Z	100.364	78	78	78	nan
20260608T024918Z	100.878	78	78	78	78
20260608T031957Z	101.389	78	78	78	nan
20260608T035042Z	101.902	78	78	78	78
20260608T042118Z	102.412	78	78	78	nan
20260608T045204Z	102.924	78	78	78	78
20260608T052253Z	103.438	78	78	78	nan
20260608T055333Z	103.949	78	78	78	78
20260608T062419Z	104.462	78	78	78	nan
20260608T065459Z	104.973	78	78	78	78
20260608T072544Z	105.486	78	78	78	nan
20260608T075625Z	105.997	78	78	78	78
20260608T082702Z	106.507	78	78	78	nan
20260608T085807Z	107.025	78	78	78	78
20260608T092853Z	107.538	78	78	78	nan
20260608T100001Z	108.057	78	78	78	78
20260608T103049Z	108.570	78	78	78	nan
20260608T110132Z	109.082	78	78	78	78
20260608T113212Z	109.593	78	78	78	nan
20260608T120259Z	110.106	78	78	78	78
20260608T123338Z	110.617	78	78	78	nan
20260608T130433Z	111.132	78	78	78	78
20260608T140610Z	112.159	78	78	78	78
20260608T143654Z	112.672	78	78	78	nan
20260608T150753Z	113.188	78	78	78	78
20260608T153842Z	113.702	78	78	78	nan
20260608T160937Z	114.217	78	78	78	78
20260608T164017Z	114.728	78	78	78	nan
20260608T171059Z	115.240	78	78	78	78
20260608T174149Z	115.754	78	78	78	nan
20260608T181247Z	116.270	78	78	78	78
20260608T184333Z	116.782	78	78	78	nan
20260608T191427Z	117.297	78	78	78	78
20260608T194514Z	117.811	78	78	78	nan
20260608T201601Z	118.324	78	78	78	78
20260608T204653Z	118.838	78	78	78	nan
20260608T211738Z	119.351	78	78	78	78
20260608T212846Z	119.536	78	78	78	78
