snapshot	elapsed_hours	participant	doctor_status	peers_status	controlled_members	controlled_messages	healthy	full_controlled_state
20260604T183533Z	20.649	deimos-openclaw-container	0	0	4	78	True	True
20260604T183533Z	20.649	phobos-pi-hermes	255	255	None	None	False	False
20260604T190623Z	21.163	local-vps	0	0	4	78	True	True
20260604T190623Z	21.163	hermes-container	0	0	4	78	True	True
20260604T190623Z	21.163	deimos-openclaw-container	0	0	4	78	True	True
20260604T190623Z	21.163	phobos-pi-hermes	255	255	None	None	False	False
20260604T193706Z	21.675	local-vps	0	0	4	78	True	True
20260604T193706Z	21.675	hermes-container	0	0	4	78	True	True
20260604T193706Z	21.675	deimos-openclaw-container	0	0	4	78	True	True
20260604T193706Z	21.675	phobos-pi-hermes	255	255	None	None	False	False
20260604T200750Z	22.187	local-vps	0	0	4	78	True	True
20260604T200750Z	22.187	hermes-container	0	0	4	78	True	True
20260604T200750Z	22.187	deimos-openclaw-container	0	0	4	78	True	True
20260604T200750Z	22.187	phobos-pi-hermes	255	255	None	None	False	False
20260604T203836Z	22.700	local-vps	0	0	4	78	True	True
20260604T203836Z	22.700	hermes-container	0	0	4	78	True	True
20260604T203836Z	22.700	deimos-openclaw-container	0	0	4	78	True	True
20260604T203836Z	22.700	phobos-pi-hermes	255	255	None	None	False	False
20260604T210929Z	23.215	local-vps	0	0	4	78	True	True
20260604T210929Z	23.215	hermes-container	0	0	4	78	True	True
20260604T210929Z	23.215	deimos-openclaw-container	0	0	4	78	True	True
20260604T210929Z	23.215	phobos-pi-hermes	255	255	None	None	False	False
20260604T214012Z	23.727	local-vps	0	0	4	78	True	True
20260604T214012Z	23.727	hermes-container	0	0	4	78	True	True
20260604T214012Z	23.727	deimos-openclaw-container	0	0	4	78	True	True
20260604T214012Z	23.727	phobos-pi-hermes	255	255	None	None	False	False
20260604T221056Z	24.239	local-vps	0	0	4	78	True	True
20260604T221056Z	24.239	hermes-container	0	0	4	78	True	True
20260604T221056Z	24.239	deimos-openclaw-container	0	0	4	78	True	True
20260604T221056Z	24.239	phobos-pi-hermes	255	255	None	None	False	False
20260604T224143Z	24.752	local-vps	0	0	4	78	True	True
20260604T224143Z	24.752	hermes-container	0	0	4	78	True	True
20260604T224143Z	24.752	deimos-openclaw-container	0	0	4	78	True	True
20260604T224143Z	24.752	phobos-pi-hermes	255	255	None	None	False	False
20260604T231228Z	25.264	local-vps	0	0	4	78	True	True
20260604T231228Z	25.264	hermes-container	0	0	4	78	True	True
20260604T231228Z	25.264	deimos-openclaw-container	0	0	4	78	True	True
20260604T231228Z	25.264	phobos-pi-hermes	255	255	None	None	False	False
20260604T234312Z	25.777	local-vps	0	0	4	78	True	True
20260604T234312Z	25.777	hermes-container	0	0	4	78	True	True
20260604T234312Z	25.777	deimos-openclaw-container	0	0	4	78	True	True
20260604T234312Z	25.777	phobos-pi-hermes	255	255	None	None	False	False
20260605T001354Z	26.288	local-vps	0	0	4	78	True	True
20260605T001354Z	26.288	hermes-container	0	0	4	78	True	True
20260605T001354Z	26.288	deimos-openclaw-container	0	0	4	78	True	True
20260605T001354Z	26.288	phobos-pi-hermes	255	255	None	None	False	False
20260605T004440Z	26.801	local-vps	0	0	4	78	True	True
20260605T004440Z	26.801	hermes-container	0	0	4	78	True	True
20260605T004440Z	26.801	deimos-openclaw-container	0	0	4	78	True	True
20260605T004440Z	26.801	phobos-pi-hermes	255	255	None	None	False	False
20260605T011530Z	27.315	local-vps	0	0	4	78	True	True
20260605T011530Z	27.315	hermes-container	0	0	4	78	True	True
20260605T011530Z	27.315	deimos-openclaw-container	0	0	4	78	True	True
20260605T011530Z	27.315	phobos-pi-hermes	255	255	None	None	False	False
20260605T014618Z	27.828	local-vps	0	0	4	78	True	True
20260605T014618Z	27.828	hermes-container	0	0	4	78	True	True
20260605T014618Z	27.828	deimos-openclaw-container	0	0	4	78	True	True
20260605T014618Z	27.828	phobos-pi-hermes	255	255	None	None	False	False
20260605T021703Z	28.341	local-vps	0	0	4	78	True	True
20260605T021703Z	28.341	hermes-container	0	0	4	78	True	True
20260605T021703Z	28.341	deimos-openclaw-container	0	0	4	78	True	True
20260605T021703Z	28.341	phobos-pi-hermes	255	255	None	None	False	False
20260605T024749Z	28.854	local-vps	0	0	4	78	True	True
20260605T024749Z	28.854	hermes-container	0	0	4	78	True	True
20260605T024749Z	28.854	deimos-openclaw-container	0	0	4	78	True	True
20260605T024749Z	28.854	phobos-pi-hermes	255	255	None	None	False	False
20260605T031832Z	29.366	local-vps	0	0	4	78	True	True
20260605T031832Z	29.366	hermes-container	0	0	4	78	True	True
20260605T031832Z	29.366	deimos-openclaw-container	0	0	4	78	True	True
20260605T031832Z	29.366	phobos-pi-hermes	255	255	None	None	False	False
20260605T034915Z	29.878	local-vps	0	0	4	78	True	True
20260605T034915Z	29.878	hermes-container	0	0	4	78	True	True
20260605T034915Z	29.878	deimos-openclaw-container	0	0	4	78	True	True
20260605T034915Z	29.878	phobos-pi-hermes	255	255	None	None	False	False
20260605T041958Z	30.389	local-vps	0	0	4	78	True	True
20260605T041958Z	30.389	hermes-container	0	0	4	78	True	True
20260605T041958Z	30.389	deimos-openclaw-container	0	0	4	78	True	True
